area,Category,Group,Value
Bradford,Age (Residents),0-14,29.0%
Bradford,Age (Residents),15-29,23.3%
Bradford,Age (Residents),30-44,23.2%
Bradford,Age (Residents),45-59,13.3%
Bradford,Age (Residents),60+,11.2%
Bradford,Gender (Residents),M,51.0%
Bradford,Gender (Residents),F,49.0%
Bradford,Population (Residents),Total Population,12720
Bradford,Population (Residents),Households,4343
Bradford,Population (Residents),Average Household Size,2.93
Bradford,Purchasing Power (Residents),EUR per capita,11998.92
Bradford,Age (Visitors),15-29,28.1%
Bradford,Age (Visitors),30-44,29.3%
Bradford,Age (Visitors),45-59,21.4%
Bradford,Age (Visitors),60+,21.0%
Bradford,Gender (Visitors),Male,49.9%
Bradford,Gender (Visitors),Female,50.1%
Bradford,Purchasing Power (Visitors),EUR per capita,16277.25
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,1%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,45%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,19%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,22%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,5%
Bradford,Purchasing Power Buckets (Visitors),Bucket 24500,4%
Bradford,Purchasing Power Buckets (Visitors),Bucket 28000,2%
Bradford,Purchasing Power Buckets (Visitors),Bucket 31500,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 35000,1%
Bradford,Purchasing Power Buckets (Visitors),Bucket 42000,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 63000,0%
