area,Category,Group,Value
Bradford,Age (Residents),0-14,23.2%
Bradford,Age (Residents),15-29,17.5%
Bradford,Age (Residents),30-44,20.2%
Bradford,Age (Residents),45-59,19.4%
Bradford,Age (Residents),60+,19.7%
Bradford,Gender (Residents),M,47.7%
Bradford,Gender (Residents),F,52.3%
Bradford,Population (Residents),Total Population,6546
Bradford,Population (Residents),Households,2662
Bradford,Population (Residents),Average Household Size,2.46
Bradford,Purchasing Power (Residents),EUR per capita,17545.89
Bradford,Age (Visitors),15-29,21.5%
Bradford,Age (Visitors),30-44,23.4%
Bradford,Age (Visitors),45-59,26.0%
Bradford,Age (Visitors),60+,29.0%
Bradford,Gender (Visitors),Male,48.4%
Bradford,Gender (Visitors),Female,51.6%
Bradford,Purchasing Power (Visitors),EUR per capita,17867.36
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,1%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,7%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,8%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,77%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,3%
Bradford,Purchasing Power Buckets (Visitors),Bucket 24500,3%
Bradford,Purchasing Power Buckets (Visitors),Bucket 28000,1%
Bradford,Purchasing Power Buckets (Visitors),Bucket 35000,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 42000,0%
