area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,7611940.75,20854.63,2239247.1638255985,6134.923091740073,5372693.586174401,14719.706908259928
Bradford,dayOfWeek,Tuesday,7943595.12,21763.27,2336811.7839118578,6402.222800153921,5606783.336088142,15361.04719984608
Bradford,dayOfWeek,Wednesday,7526345.95,20620.13,2214067.2630048757,6065.9389158034555,5312278.686995124,14554.191084196545
Bradford,dayOfWeek,Thursday,7838003.12,21473.98,2305749.194975827,6317.120743622135,5532253.925024173,15156.859256377866
Bradford,dayOfWeek,Friday,7703468.81,21105.39,2266172.48490951,6208.690562775748,5437296.325090489,14896.699437224252
Bradford,dayOfWeek,Saturday,6673147.25,18282.6,1963077.0317481903,5378.294648097187,4710070.2182518095,12904.305351902813
Bradford,dayOfWeek,Sunday,7290769.68,19974.71,2144766.474705635,5876.072106281019,5146003.205294365,14098.63789371898
Bradford BID,dayOfWeek,Monday,55773754.18,152804.81,43508936.68817044,119202.5694107205,12264817.491829561,33602.24058927949
Bradford BID,dayOfWeek,Tuesday,55580348.41,152274.93,43358061.43285053,118789.21162781202,12222286.97714946,33485.71837218798
Bradford BID,dayOfWeek,Wednesday,54804961.48,150150.58,42753184.437528916,117132.01262780892,12051777.042471077,33018.56737219108
Bradford BID,dayOfWeek,Thursday,55266696.55,151415.61,43113382.56696633,118118.85869883012,12153313.983033666,33296.75130116986
Bradford BID,dayOfWeek,Friday,55268271.26,151419.92,43114610.99346728,118122.22091677446,12153660.266532717,33297.69908322555
Bradford BID,dayOfWeek,Saturday,53791891.24,147375.04,41962891.412057176,114966.82228136479,11828999.827942824,32408.217718635224
Bradford BID,dayOfWeek,Sunday,45221222.17,123893.76,35276938.432481535,96649.1468819283,9944283.73751847,27244.613118071687
Bradford,daily,2019-01-01,12821.68,12821.68,3478.781617428145,3478.781617428145,9342.898382571855,9342.898382571855
Bradford,daily,2019-01-02,13278.33,13278.33,3602.6800165145805,3602.6800165145805,9675.64998348542,9675.64998348542
Bradford,daily,2019-01-03,5636.28,5636.28,1529.2369841298414,1529.2369841298414,4107.043015870158,4107.043015870158
Bradford,daily,2019-01-04,7972.12,7972.12,2162.99771230691,2162.99771230691,5809.12228769309,5809.12228769309
Bradford,daily,2019-01-05,16706.88,16706.88,5967.753944796991,5967.753944796991,10739.126055203009,10739.126055203009
Bradford,daily,2019-01-06,7890.8,7890.8,2818.620402349457,2818.620402349457,5072.179597650543,5072.179597650543
Bradford,daily,2019-01-07,7408.18,7408.18,2009.9893619711956,2009.9893619711956,5398.190638028806,5398.190638028806
Bradford,daily,2019-01-08,15033.14,15033.14,4078.795531024308,4078.795531024308,10954.344468975693,10954.344468975693
Bradford,daily,2019-01-09,20810.9,20810.9,5646.418906269334,5646.418906269334,15164.481093730668,15164.481093730668
Bradford,daily,2019-01-10,2415.55,2415.55,655.3876665131681,655.3876665131681,1760.1623334868323,1760.1623334868323
Bradford,daily,2019-01-11,7635.85,7635.85,2071.7608467407317,2071.7608467407317,5564.08915325927,5564.08915325927
Bradford,daily,2019-01-12,20810.9,20810.9,7433.72374553332,7433.72374553332,13377.17625446668,13377.17625446668
Bradford,daily,2019-01-13,27054.17,27054.17,9663.840869193315,9663.840869193315,17390.329130806684,17390.329130806684
